freq,asset10,nace_r2,na_item,unit,geo,time,values,value_qualifier
A,N11N,A,GVA_NCS,I15,DK,1975,40.126,final
A,N11N,A,GVA_NCS,I15,NO,1975,39.704,final
A,N11N,B,GVA_NCS,I15,DK,1975,66.287,final
A,N11N,B,GVA_NCS,I15,NO,1975,86.109,final
A,N11N,C,GVA_NCS,I15,DK,1975,128.606,final
A,N11N,C,GVA_NCS,I15,NO,1975,102.015,final
A,N11N,D,GVA_NCS,I15,DK,1975,131.363,final
A,N11N,D,GVA_NCS,I15,NO,1975,68.176,final
A,N11N,E,GVA_NCS,I15,DK,1975,552.947,final
A,N11N,E,GVA_NCS,I15,NO,1975,147.938,final
A,N11N,F,GVA_NCS,I15,DK,1975,153.216,final
A,N11N,F,GVA_NCS,I15,NO,1975,367.701,final
A,N11N,G,GVA_NCS,I15,DK,1975,71.293,final
A,N11N,G,GVA_NCS,I15,NO,1975,26.936,final
A,N11N,H,GVA_NCS,I15,DK,1975,194.54,final
A,N11N,H,GVA_NCS,I15,NO,1975,55.356,final
A,N11N,I,GVA_NCS,I15,DK,1975,291.806,final
A,N11N,I,GVA_NCS,I15,NO,1975,232.362,final
A,N11N,J,GVA_NCS,I15,DK,1975,32.085,final
A,N11N,J,GVA_NCS,I15,NO,1975,36.691,final
A,N11N,K,GVA_NCS,I15,DK,1975,40.557,final
A,N11N,K,GVA_NCS,I15,NO,1975,174.968,final
A,N11N,M,GVA_NCS,I15,DK,1975,133.605,final
A,N11N,M,GVA_NCS,I15,NO,1975,131.649,final
A,N11N,N,GVA_NCS,I15,DK,1975,162.528,final
A,N11N,N,GVA_NCS,I15,NO,1975,112.685,final
A,N11N,R,GVA_NCS,I15,DK,1975,61.102,final
A,N11N,R,GVA_NCS,I15,NO,1975,127.505,final
A,N11N,S,GVA_NCS,I15,DK,1975,226.88,final
A,N11N,S,GVA_NCS,I15,NO,1975,376.161,final
A,N11N,TOTAL,GVA_NCS,I15,DK,1975,85.508,final
A,N11N,TOTAL,GVA_NCS,I15,NO,1975,103.332,final
A,N11N,A,GVA_NCS,I15,DK,1976,34.516,final
A,N11N,A,GVA_NCS,I15,NO,1976,40.276,final
A,N11N,B,GVA_NCS,I15,DK,1976,62.534,final
A,N11N,B,GVA_NCS,I15,NO,1976,87.875,final
A,N11N,C,GVA_NCS,I15,DK,1976,128.47,final
A,N11N,C,GVA_NCS,I15,NO,1976,100.404,final
A,N11N,D,GVA_NCS,I15,DK,1976,129,final
A,N11N,D,GVA_NCS,I15,NO,1976,71.753,final
A,N11N,E,GVA_NCS,I15,DK,1976,527.013,final
A,N11N,E,GVA_NCS,I15,NO,1976,174.666,final
A,N11N,F,GVA_NCS,I15,DK,1976,158.254,final
A,N11N,F,GVA_NCS,I15,NO,1976,352.641,final
A,N11N,G,GVA_NCS,I15,DK,1976,78.103,final
A,N11N,G,GVA_NCS,I15,NO,1976,28.154,final
A,N11N,H,GVA_NCS,I15,DK,1976,192.765,final
A,N11N,H,GVA_NCS,I15,NO,1976,60.023,final
A,N11N,I,GVA_NCS,I15,DK,1976,299.841,final
A,N11N,I,GVA_NCS,I15,NO,1976,221.966,final
A,N11N,J,GVA_NCS,I15,DK,1976,32.616,final
A,N11N,J,GVA_NCS,I15,NO,1976,36.63,final
A,N11N,K,GVA_NCS,I15,DK,1976,43.201,final
A,N11N,K,GVA_NCS,I15,NO,1976,177.55,final
A,N11N,M,GVA_NCS,I15,DK,1976,139.921,final
A,N11N,M,GVA_NCS,I15,NO,1976,132.897,final
A,N11N,N,GVA_NCS,I15,DK,1976,164.896,final
A,N11N,N,GVA_NCS,I15,NO,1976,118.143,final
A,N11N,R,GVA_NCS,I15,DK,1976,60.625,final
A,N11N,R,GVA_NCS,I15,NO,1976,128.225,final
A,N11N,S,GVA_NCS,I15,DK,1976,238.318,final
A,N11N,S,GVA_NCS,I15,NO,1976,352.071,final
A,N11N,TOTAL,GVA_NCS,I15,DK,1976,87.006,final
A,N11N,TOTAL,GVA_NCS,I15,NO,1976,103.734,final
A,N11N,A,GVA_NCS,I15,DK,1977,38.596,final
A,N11N,A,GVA_NCS,I15,NO,1977,37.575,final
A,N11N,B,GVA_NCS,I15,DK,1977,82.757,final
A,N11N,B,GVA_NCS,I15,NO,1977,71.646,final
A,N11N,C,GVA_NCS,I15,DK,1977,127.621,final
A,N11N,C,GVA_NCS,I15,NO,1977,94.158,final
A,N11N,D,GVA_NCS,I15,DK,1977,128.976,final
A,N11N,D,GVA_NCS,I15,NO,1977,68.086,final
A,N11N,E,GVA_NCS,I15,DK,1977,474.34,final
A,N11N,E,GVA_NCS,I15,NO,1977,196.905,final
A,N11N,F,GVA_NCS,I15,DK,1977,153.888,final
A,N11N,F,GVA_NCS,I15,NO,1977,327.272,final
A,N11N,G,GVA_NCS,I15,DK,1977,75.563,final
A,N11N,G,GVA_NCS,I15,NO,1977,28.476,final
A,N11N,H,GVA_NCS,I15,DK,1977,191.876,final
A,N11N,H,GVA_NCS,I15,NO,1977,63.045,final
A,N11N,I,GVA_NCS,I15,DK,1977,300.319,final
A,N11N,I,GVA_NCS,I15,NO,1977,207.504,final
A,N11N,J,GVA_NCS,I15,DK,1977,32.199,final
A,N11N,J,GVA_NCS,I15,NO,1977,30.857,final
A,N11N,K,GVA_NCS,I15,DK,1977,41.189,final
A,N11N,K,GVA_NCS,I15,NO,1977,173.664,final
A,N11N,M,GVA_NCS,I15,DK,1977,143.621,final
